heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,3,2,0,2,91,6,50,60,55,59
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,95,6,57,100,73,93
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,96,6,86,100,93,98
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,96,6,86,100,93,98
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,13,6,3,3,87,6,81,68,74,70
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,96,6,84,100,91,98
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,14,2,3,2,93,6,82,88,85,87
smoothgrad,avg-grad,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,96,6,84,100,91,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,95,6,80,100,89,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,95,6,80,100,89,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,8,4,3,3,89,6,73,67,70,67
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,6,1,1,1,93,6,67,86,75,83
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,3,4,1,2,88,6,50,43,46,43
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,5,2,1,3,92,6,62,71,67,70
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,96,6,84,100,91,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,9,7,2,2,85,6,75,56,64,58
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,7,7,4,3,85,6,70,50,58,51
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,95,6,70,100,82,96
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,5,2,0,2,92,6,62,71,67,70
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,5,2,0,3,92,6,62,71,67,70
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,95,6,80,100,89,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,2,95,6,80,100,89,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,6,5,4,3,87,6,67,55,60,56
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,95,6,80,100,89,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,7,5,2,2,88,6,70,58,64,59
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,7,5,2,3,88,6,70,58,64,59
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,95,6,80,100,89,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,95,6,80,100,89,98
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,8,2,11,3,92,6,73,80,76,79
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,95,6,77,100,87,97
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,5,5,4,2,87,6,62,50,56,51
smoothgrad,avg-grad,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,1,9,4,3,81,6,25,10,14,11
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,95,6,77,100,87,97
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,95,6,77,100,87,97
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,3,7,4,3,84,6,50,30,37,31
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,8,1,0,1,93,6,73,89,80,87
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,7,2,0,2,92,6,70,78,74,77
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,7,2,0,3,92,6,70,78,74,77
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,95,6,81,100,90,98
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,7,6,3,2,86,6,70,54,61,55
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,6,7,3,3,85,6,67,46,55,48
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,95,6,57,100,73,93
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,95,6,57,100,73,93
smoothgrad,avg-grad,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,95,6,57,100,73,93
smoothgrad,avg-grad,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,95,6,75,100,86,97
smoothgrad,avg-grad,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,2,95,6,75,100,86,97
smoothgrad,avg-grad,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,7,2,3,3,92,6,70,78,74,77
smoothgrad,avg-grad,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,1,95,6,57,100,73,93
smoothgrad,avg-grad,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,3,1,1,2,93,6,50,75,60,71
smoothgrad,avg-grad,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,2,2,1,3,91,6,40,50,44,49
smoothgrad,avg-grad,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,1,95,6,77,100,87,97
smoothgrad,avg-grad,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,2,95,6,77,100,87,97
smoothgrad,avg-grad,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,3,95,6,77,100,87,97
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,93,8,56,100,71,93
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,93,8,56,100,71,93
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,94,8,83,100,90,98
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,94,8,83,100,90,98
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,94,8,83,100,90,98
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,94,8,80,100,89,98
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,2,94,8,80,100,89,98
smoothgrad,avg-grad,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,94,8,80,100,89,98
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,93,8,64,100,78,95
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,93,8,64,100,78,95
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,93,8,64,100,78,95
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,94,8,80,100,89,98
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,94,8,80,100,89,98
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,94,8,78,100,88,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,93,8,64,100,78,95
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,93,8,64,100,78,95
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,93,8,64,100,78,95
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,2,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,11,0,4,3,94,8,73,100,85,96
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,2,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,3,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,94,8,75,100,86,97
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,10,0,11,3,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,2,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,3,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,3,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,8,1,0,2,92,8,67,89,76,86
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,3,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,94,8,76,100,87,97
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,2,94,8,76,100,87,97
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,3,94,8,76,100,87,97
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,2,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,3,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,1,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,2,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,3,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,1,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,2,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,3,94,8,71,100,83,96
